pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,fare_amount
2025-07-15 21:43:52.053686,-73.88924447777065,40.777970353847145,-73.91288383852142,40.817003253780754,3,14.41
2025-07-26 06:38:52.066763,-73.92556468445353,40.84423870191022,-73.86302368233183,40.79683301859338,4,36.31
2025-06-03 12:38:52.066838,-73.90017523021511,40.837333666172384,-73.87695036390413,40.82735527418649,1,47.49
2025-06-18 18:12:52.066873,-73.9169651518719,40.766176421135214,-73.88522868289371,40.76234008152056,1,49.8
2025-07-22 12:33:52.066903,-73.85663081762401,40.82862759567571,-73.87037594044372,40.81263223516562,3,25.26
2025-05-30 15:52:52.066934,-73.9492465636866,40.80745873823178,-73.87459769650717,40.777847072892754,3,16.36
2025-07-01 01:04:52.066964,-73.92746672022875,40.806657536217145,-73.94640613250785,40.83529819953306,1,24.93
2025-05-27 02:40:52.066992,-73.9134643180326,40.78910427630582,-73.91052656461552,40.84283835056363,3,43.13
2025-06-26 05:27:52.067021,-73.90121901991913,40.800115299918204,-73.85691927026835,40.8496398293679,4,14.27
2025-06-15 00:35:52.067050,-73.86491824821638,40.78971787774292,-73.93742757310078,40.829600740242725,1,47.84
2025-07-15 17:55:52.067078,-73.94121123754599,40.803973261875996,-73.8762903449568,40.825373407042804,4,20.38
2025-06-28 08:08:52.067106,-73.86941351132589,40.812795005277266,-73.85254081886647,40.77155007588676,4,49.36
2025-06-10 04:37:52.067135,-73.9444346510643,40.81743038064091,-73.9447801370955,40.78360070589901,3,42.74
2025-06-11 20:38:52.067163,-73.86576859647019,40.80324811925594,-73.88178061193734,40.79656825417623,4,41.39
2025-07-26 08:09:52.067190,-73.94483645221256,40.82214220673287,-73.9031845858699,40.82733810477823,3,19.31
2025-06-15 09:23:52.067218,-73.94817575185716,40.76412780492755,-73.89208247446253,40.841496586507795,2,5.39
2025-06-13 03:43:52.067258,-73.88030385376337,40.771198249090226,-73.94146586635156,40.7689139100023,3,22.2
2025-06-11 18:53:52.067288,-73.85027444652316,40.831873500407426,-73.9456993048133,40.84223674846701,4,18.58
2025-06-09 16:09:52.067316,-73.8603389737026,40.78225279778464,-73.88331333394491,40.81956246523541,2,6.68
2025-07-23 04:27:52.067344,-73.89240015821943,40.752289382497615,-73.86766905701793,40.8110770730685,3,27.74
2025-05-30 03:54:52.067372,-73.85826043869145,40.765379114966805,-73.8717984665067,40.7699841271282,4,23.14
2025-06-19 13:51:52.067399,-73.94946999936025,40.77236144344963,-73.89561942721338,40.75555250328092,1,33.56
2025-05-28 15:13:52.067427,-73.85249328370548,40.845732288789456,-73.94001331788638,40.80684648985079,1,32.95
2025-07-06 22:45:52.067455,-73.90092512207413,40.80730414289309,-73.8811955556164,40.81515156833289,3,10.43
2025-06-06 22:06:52.067482,-73.87771039033782,40.84327307404762,-73.92581111164459,40.771078144935466,3,48.96
2025-05-23 06:42:52.067511,-73.86791385268467,40.80751633504966,-73.85889312972327,40.805645620582546,1,13.41
2025-07-09 01:20:52.067539,-73.87815427291635,40.79793544401379,-73.86617346404543,40.835649340276255,4,25.04
2025-05-29 05:00:52.067568,-73.89649632679551,40.78137276911941,-73.87906170329127,40.833506594545504,4,26.97
2025-07-14 01:47:52.067595,-73.90233805158736,40.81063709444334,-73.85511540441689,40.84273551805863,4,41.59
2025-07-24 23:11:52.067622,-73.86614174412973,40.76391980246175,-73.94685781784888,40.78658858095569,3,9.47
2025-06-15 19:08:52.067650,-73.92949224398505,40.839826162729274,-73.87637995749392,40.78180495725509,2,24.29
2025-06-11 05:33:52.067677,-73.85320059334958,40.83293324051413,-73.91697572206637,40.82494260059808,2,33.28
2025-05-29 02:04:52.067705,-73.87890475211633,40.78175314478767,-73.85939341143137,40.7931112405097,2,14.68
2025-07-02 00:45:52.067734,-73.93004930726617,40.84527975276013,-73.92333248033381,40.758754866402775,2,33.24
2025-06-10 01:03:52.067761,-73.87637528163016,40.83252007674156,-73.8775143500685,40.77828011306705,2,46.56
2025-06-17 08:52:52.067789,-73.89701599768189,40.8166306885835,-73.86223529803492,40.791858228553146,3,49.89
2025-06-10 11:35:52.067816,-73.87927699043556,40.76217619111253,-73.94583431816173,40.77925164254763,3,6.46
2025-07-04 23:07:52.067844,-73.87322204985571,40.79782340230481,-73.9102352420408,40.78322055709473,2,15.6
2025-07-18 23:04:52.067871,-73.94127098204103,40.800610755484676,-73.87376909679782,40.779377590617436,3,18.96
2025-06-08 21:26:52.067898,-73.89938960436407,40.773255135836536,-73.90450811104924,40.754149916718305,3,22.96
2025-07-24 04:08:52.067926,-73.85679856577431,40.75799653943593,-73.92327473702065,40.81370947008244,2,15.9
2025-06-27 23:32:52.067955,-73.91793578078405,40.82767236304717,-73.92801946511769,40.809729242035345,4,14.16
2025-05-21 00:22:52.067983,-73.89061169024421,40.76220350521244,-73.93684817330836,40.81533834984787,3,47.95
2025-06-01 07:00:52.068010,-73.913076951849,40.80942907505618,-73.86428704401438,40.769230989603365,4,46.33
2025-05-27 05:45:52.068038,-73.9045732027781,40.84364491738837,-73.89246445967484,40.77956545416125,3,7.11
2025-07-19 11:51:52.068066,-73.89513968820619,40.837610519259805,-73.94236150550086,40.811961592694495,3,20.25
2025-07-20 18:26:52.068093,-73.89510780201111,40.777775262374924,-73.91174196764294,40.80996275684599,2,23.23
2025-06-05 12:09:52.068120,-73.92982695376698,40.835144863755126,-73.9132266349195,40.80063303093543,3,15.76
2025-06-27 00:17:52.068148,-73.88154284521202,40.75003325061205,-73.93182608092906,40.78504132500102,1,33.3
2025-06-03 17:06:52.068175,-73.94121318887574,40.75176878096133,-73.90644923745279,40.84129310047747,1,33.82
2025-07-10 06:41:52.068203,-73.9361175226558,40.810255316384286,-73.9167900634607,40.783977024229884,2,43.27
2025-06-09 13:10:52.068242,-73.94972891005857,40.786479821914455,-73.91581962945078,40.795561915643724,4,38.34
2025-07-10 13:35:52.068270,-73.93833039358583,40.78864608411592,-73.87609734422121,40.81781138309542,4,29.42
